Thai,Lao,Portuguese,Spanish,English
เปลี่นทรง,ປ່ຽນ​ຮູບ​ຮ່າງ​,mudar de forma,cambiar de forma,
เชิญ,ເຊີນ,convidar,invitar,
แค่ไหน,ເທົ່າ​ໃດ,quantos,cuánto,
บ่า,ບ່າ,ombro,hombro,shoulder
ผหน้าม้า,ຜົມປົ້ນ,franja de cabelo,flequillo de pelo,hair bangs
แสกหน้า,ໃບຫນ້າ,,,part of the forehead between the eyes
แสกข้าง,ແຍກ,separou-se,se separaron,parted
ทราบ,ຮູ້,conhecer,saber,
สระผม,ລ້າງຜົມ,lavar o cabelo,lavar pelo,
ประกาศ,ປະກາດ,anunciar,anunciar,
รับสมัครงาน,ຮັບສະໝັກ,recrutar,reclutar,
สมัครงาน,ສະໝັກວຽກ,candidatar-se ao trabalho,aplicar para el trabajo,
ค่าจ้าง,ຄ່າຈ້າງ,remunerações,salarios,
เลว,ບໍ່ດີ,mau,malo,
สงสัย,ສົງ​ໄສ,duvidar,dudar,doubt
ยอม,ຍອມ​,aceitar,aceptar,accept;agree
ผลดำเนินงาน,,,,performance
,ການນໍາສະເຫນີ,apresentação,,presentation
แผนภาพ,ແຜນພາບ,,,chart
แจก,,distribuir,,distribute
ยอดขาย,ການຂາຍ,vendas,,sales
ประมาณการ,ການ​ຄາດ​ຄະ​ເນ​,estimativa,,estimate
อย่างมั่นคง,ຢ່າງຕໍ່ເນື່ອງ,firmemente,,steadily
รณรงค์,,campanha,,
มีประสิทธิภาพ,ມີປະສິດທິພາບ,eficaz,,effective
หลีกเลี่ยงไม่ได้,ຫຼີກລ່ຽງບໍ່ໄດ້,inevitável,,unavoidable
การดีดกลับ,ຟື້ນຕົວ,rebote,,rebound
